iter	Passed	Remaining
0	162	325525
1	186	186762
2	209	139175
3	230	115078
4	252	100764
5	283	94181
6	311	88682
7	335	83572
8	357	79131
9	378	75238
10	398	72137
11	419	69508
12	440	67268
13	461	65466
14	482	63861
15	503	62447
16	523	61112
17	545	60068
18	567	59118
19	587	58167
20	608	57364
21	628	56508
22	648	55737
23	669	55121
24	689	54499
25	710	53923
26	730	53384
27	750	52875
28	771	52441
29	792	52012
30	812	51583
31	833	51236
32	854	50908
33	875	50605
34	895	50293
35	918	50102
36	941	49942
37	963	49734
38	986	49584
39	1009	49455
40	1031	49270
41	1054	49148
42	1076	48991
43	1100	48921
44	1122	48782
45	1145	48661
46	1167	48521
47	1187	48311
48	1207	48082
49	1227	47876
50	1244	47541
51	1265	47397
52	1286	47272
53	1311	47260
54	1331	47078
55	1351	46922
56	1371	46759
57	1392	46623
58	1413	46487
59	1434	46390
60	1458	46376
61	1484	46393
62	1507	46352
63	1530	46300
64	1553	46240
65	1576	46189
66	1599	46132
67	1622	46084
68	1647	46093
69	1670	46048
70	1693	46004
71	1716	45974
72	1740	45943
73	1763	45900
74	1786	45847
75	1809	45814
76	1831	45749
77	1853	45680
78	1876	45618
79	1898	45561
80	1922	45543
81	1944	45481
82	1966	45427
83	1987	45338
84	2008	45246
85	2030	45180
86	2051	45101
87	2072	45020
88	2093	44946
89	2114	44864
90	2135	44803
91	2157	44736
92	2177	44643
93	2196	44547
94	2217	44472
95	2237	44376
96	2258	44307
97	2278	44214
98	2298	44136
99	2322	44135
100	2344	44084
101	2365	44024
102	2387	43974
103	2409	43927
104	2430	43857
105	2450	43778
106	2472	43747
107	2495	43709
108	2515	43643
109	2537	43599
110	2558	43543
111	2584	43559
112	2621	43770
113	2656	43951
114	2690	44096
115	2725	44258
116	2765	44515
117	2808	44790
118	2852	45089
119	2892	45320
120	2932	45540
121	2983	45924
122	3040	46391
123	3097	46859
124	3150	47262
125	3205	47679
126	3261	48101
127	3320	48559
128	3383	49076
129	3430	49348
130	3465	49440
131	3500	49541
132	3535	49624
133	3574	49772
134	3618	49987
135	3666	50255
136	3720	50591
137	3772	50894
138	3811	51031
139	3850	51160
140	3887	51257
141	3927	51384
142	3968	51530
143	4005	51631
144	4043	51728
145	4080	51810
146	4117	51903
147	4152	51962
148	4194	52112
149	4245	52357
150	4303	52698
151	4346	52844
152	4387	52969
153	4431	53122
154	4469	53200
155	4514	53363
156	4556	53490
157	4593	53553
158	4637	53698
159	4677	53792
160	4720	53914
161	4770	54120
162	4812	54233
163	4856	54374
164	4903	54528
165	4950	54691
166	4992	54799
167	5042	54984
168	5096	55215
169	5150	55448
170	5192	55535
171	5234	55636
172	5278	55744
173	5319	55826
174	5364	55944
175	5413	56099
176	5464	56280
177	5503	56331
178	5539	56351
179	5576	56382
180	5614	56423
181	5653	56472
182	5687	56475
183	5709	56348
184	5730	56218
185	5749	56077
186	5771	55951
187	5790	55815
188	5811	55686
189	5833	55570
190	5853	55443
191	5874	55322
192	5895	55201
193	5916	55074
194	5936	54954
195	5958	54839
196	5979	54723
197	5999	54604
198	6019	54479
199	6039	54359
200	6061	54252
201	6083	54152
202	6105	54048
203	6125	53929
204	6145	53809
205	6165	53696
206	6187	53593
207	6207	53477
208	6227	53367
209	6249	53269
210	6269	53159
211	6290	53049
212	6311	52951
213	6332	52853
214	6352	52744
215	6373	52638
216	6394	52538
217	6414	52434
218	6435	52339
219	6459	52259
220	6483	52188
221	6507	52117
222	6529	52027
223	6550	51935
224	6570	51836
225	6591	51742
226	6613	51654
227	6635	51569
228	6656	51482
229	6678	51392
230	6698	51296
231	6719	51203
232	6740	51119
233	6762	51033
234	6783	50948
235	6804	50857
236	6825	50771
237	6846	50688
238	6866	50597
239	6888	50514
240	6909	50433
241	6930	50349
242	6951	50264
243	6972	50181
244	6994	50105
245	7017	50033
246	7038	49951
247	7059	49869
248	7082	49807
249	7103	49726
250	7124	49643
251	7145	49563
252	7167	49490
253	7188	49415
254	7209	49337
255	7230	49259
256	7251	49182
257	7272	49106
258	7294	49033
259	7315	48957
260	7336	48880
261	7358	48810
262	7378	48731
263	7398	48652
264	7419	48577
265	7439	48498
266	7462	48435
267	7484	48368
268	7506	48305
269	7529	48247
270	7553	48192
271	7576	48133
272	7615	48176
273	7657	48236
274	7696	48275
275	7732	48298
276	7768	48323
277	7805	48348
278	7841	48373
279	7879	48403
280	7916	48426
281	7954	48457
282	7992	48491
283	8031	48527
284	8069	48559
285	8107	48586
286	8143	48604
287	8181	48631
288	8219	48660
289	8257	48688
290	8302	48761
291	8353	48864
292	8415	49027
293	8461	49102
294	8505	49159
295	8545	49194
296	8584	49223
297	8622	49245
298	8658	49260
299	8699	49299
300	8722	49235
301	8750	49200
302	8773	49137
303	8795	49072
304	8816	48994
305	8835	48914
306	8856	48841
307	8877	48766
308	8897	48689
309	8917	48615
310	8937	48538
311	8957	48460
312	8977	48387
313	8998	48315
314	9018	48240
315	9039	48171
316	9059	48098
317	9079	48021
318	9098	47947
319	9119	47878
320	9139	47803
321	9159	47733
322	9180	47666
323	9202	47603
